iter	Passed	Remaining
796	1462	372
797	1463	370
798	1465	368
799	1466	366
800	1468	364
801	1469	362
802	1470	360
803	1472	358
804	1473	356
805	1474	354
806	1475	352
807	1476	350
808	1478	349
809	1479	347
810	1481	345
811	1482	343
812	1483	341
813	1484	339
814	1486	337
815	1487	335
816	1489	333
817	1490	331
818	1491	329
819	1493	327
820	1494	325
821	1496	323
822	1497	322
823	1498	320
824	1500	318
825	1502	316
826	1503	314
827	1505	312
828	1507	311
829	1509	309
830	1511	307
831	1513	305
832	1514	303
833	1517	301
834	1519	300
835	1520	298
836	1522	296
837	1523	294
838	1524	292
839	1526	290
840	1527	288
841	1528	286
842	1530	284
843	1531	283
844	1533	281
845	1534	279
846	1536	277
847	1537	275
848	1539	273
849	1540	271
850	1541	269
851	1542	267
852	1543	266
853	1544	264
854	1546	262
855	1547	260
856	1548	258
857	1549	256
858	1550	254
859	1551	252
860	1552	250
861	1553	248
862	1554	246
863	1555	244
864	1556	242
865	1558	241
866	1559	239
867	1561	237
868	1562	235
869	1563	233
870	1564	231
871	1565	229
872	1566	227
873	1567	225
874	1568	224
875	1569	222
876	1570	220
877	1572	218
878	1573	216
879	1574	214
880	1575	212
881	1576	210
882	1578	209
883	1578	207
884	1579	205
885	1581	203
886	1582	201
887	1583	199
888	1585	197
889	1586	196
890	1587	194
891	1589	192
892	1590	190
893	1591	188
894	1592	186
895	1594	185
896	1595	183
897	1596	181
898	1598	179
899	1600	177
900	1601	175
901	1602	174
902	1603	172
903	1604	170
904	1605	168
905	1606	166
906	1607	164
907	1608	162
908	1609	161
909	1611	159
910	1612	157
911	1614	155
912	1615	153
913	1616	152
914	1617	150
915	1618	148
916	1619	146
917	1620	144
918	1621	142
919	1622	141
920	1624	139
921	1625	137
922	1626	135
923	1627	133
924	1628	132
925	1630	130
926	1631	128
927	1632	126
928	1633	124
929	1634	123
930	1635	121
931	1636	119
932	1638	117
933	1639	115
934	1641	114
935	1642	112
936	1643	110
937	1644	108
938	1645	106
939	1646	105
940	1648	103
941	1649	101
942	1650	99
943	1652	98
944	1653	96
945	1654	94
946	1655	92
947	1656	90
948	1657	89
949	1658	87
950	1660	85
951	1661	83
952	1662	81
953	1664	80
954	1665	78
955	1666	76
956	1667	74
957	1669	73
958	1670	71
959	1671	69
960	1672	67
961	1673	66
962	1674	64
963	1676	62
964	1677	60
965	1679	59
966	1680	57
967	1681	55
968	1682	53
969	1683	52
970	1684	50
971	1685	48
972	1687	46
973	1688	45
974	1690	43
975	1691	41
976	1692	39
977	1693	38
978	1694	36
979	1695	34
980	1697	32
981	1698	31
982	1699	29
983	1700	27
984	1701	25
985	1702	24
986	1704	22
987	1705	20
988	1706	18
989	1707	17
990	1708	15
991	1710	13
992	1711	12
993	1712	10
994	1713	8
995	1714	6
996	1715	5
997	1716	3
998	1718	1
999	1719	0
